domain,aws_networks_size,aws_network_labels,domain_alexa_rank
triaster.co.uk,2963,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)']",475510.0
rokt.com,2955,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (us-east-1)']",320318.0
spokanecounty.org,2953,"['AMAZON (us-east-1)', 'EC2 (eu-west-1)', 'EC2 (us-east-1)']",84324.0
swana.org,2953,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",497770.0
connectwise.com,2952,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (us-east-1)']",240718.0
thomasnet.com,2952,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (us-east-1)']",25967.0
aimmedia.com,2952,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",297739.0
ixiacom.com,2951,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (us-east-1)']",154321.0
red-gate.com,2951,"['AMAZON (us-east-1)', 'EC2 (eu-west-1)', 'EC2 (us-east-1)']",69992.0
opisnet.com,2951,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",390981.0
gumgum.com,2951,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",47587.0
continuum.net,2951,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (us-east-1)']",900645.0
mychristiancare.org,2950,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",244404.0
popularwoodworking.com,2950,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",134483.0
picmonkey.com,2950,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",2469.0
brillen.de,2949,"['AMAZON (us-east-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)']",333826.0
xometry.com,2949,"['AMAZON (us-east-1)', 'EC2 (us-gov-west-1)', 'EC2 (us-east-1)']",131766.0
hillsdale.edu,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",107841.0
bizible.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",237647.0
wolterskluwer.be,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",249722.0
civicplus.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",109340.0
phrma.org,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",264525.0
voltus.co,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",326990.0
infomoney.com.br,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",16191.0
curve.app,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",303540.0
como.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",26861.0
jazva.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",839699.0
holvi.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",68402.0
serviz.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",277758.0
mmlafleur.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",141529.0
signavio.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",470508.0
fleetcomplete.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",751599.0
gedankentanken.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",88262.0
checkout.fi,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",134223.0
certipay.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",98063.0
ironplanet.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",56659.0
dainese.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",226839.0
wevideo.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",12945.0
deputy.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",53021.0
ruhrnachrichten.de,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",27399.0
noodle.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",392904.0
adpushup.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",52374.0
imaginecurve.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",399267.0
ndr.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",164031.0
streetshares.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",246779.0
pepperjam.com,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",258206.0
nacha.org,2948,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']",315712.0
ptc.com,2490,"['EC2 (us-west-2)', 'EC2 (us-east-2)', 'EC2 (us-east-1)']",35359.0
greenchoice.nl,2481,"['EC2 (us-west-1)', 'EC2 (eu-west-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)']",402921.0
acu.edu.au,2441,"['EC2 (eu-west-1)', 'EC2 (ap-southeast-2)', 'EC2 (us-east-1)']",83673.0
edhec.edu,2441,"['EC2 (us-west-2)', 'EC2 (us-gov-west-1)', 'EC2 (eu-west-1)', 'EC2 (us-east-1)']",455683.0
activeandfitdirect.com,2436,"['EC2 (eu-west-1)', 'EC2 (us-east-1)']",297416.0
psd150.org,2088,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (ap-southeast-2)', 'EC2 (us-east-1)']",245537.0
studying.jp,2055,"['AMAZON (us-east-1)', 'EC2 (ap-northeast-1)']",74223.0
wps.k12.va.us,2048,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (ap-southeast-2)']",163781.0
cumberlandschools.org,2048,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (ap-southeast-2)']",303510.0
dvrhs.org,2048,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (ap-southeast-2)']",305019.0
plymouth.k12.in.us,2048,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (ap-southeast-2)']",731084.0
govalor.com,2048,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (ap-southeast-2)']",434000.0
cusd80.com,2048,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (ap-southeast-2)']",218735.0
gstboces.org,2048,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (ap-southeast-2)']",901021.0
mydesktop.com.au,2048,['EC2 (ap-southeast-2)'],284815.0
leoniaschools.org,2048,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (ap-southeast-2)']",180911.0
lisdtx.org,2048,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (ap-southeast-2)']",312946.0
slps.org,2048,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (ap-southeast-2)']",322076.0
cusd200.org,2048,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (ap-southeast-2)']",387601.0
allhomes.com.au,2048,['EC2 (ap-southeast-2)'],76932.0
risepeople.com,2001,"['EC2 (us-west-2)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)']",361955.0
tyk.io,1994,"['EC2 (eu-central-1)', 'EC2 (us-east-1)']",752555.0
