domain,aws_networks_size,aws_network_labels,includes
diebold.com,1051,"['AMAZON (us-east-1)', 'EC2 (ap-southeast-1)', 'EC2 (eu-west-1)', 'EC2 (us-east-1)']","['_spf-oldips.dieboldnixdorf.com', 'spf-002a6e01.pphosted.com', 'spf1.satmetrix.com', '_spf-a.dieboldnixdorf.com']"
west.com,1034,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (us-east-2)']","['spf.protection.outlook.com', 'spf.messagelabs.com', '_spf.salesforce.com', 'amazonses.com', 'stspg-customer.com', 'everbridge.net']"
windstream.com,1032,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (eu-west-1)', 'EC2 (eu-central-1)']","['_spf.act-on.net', 'servers.mcsv.net', 'mktomail.com', '_netblocks.windstream.com', 'mailsenders.netsuite.com', '_spf.brainier.com', 'spf.mandrillapp.com']"
harsco.com,1032,"['AMAZON (us-east-1)', 'EC2 (eu-west-1)', 'EC2 (us-east-1)']","['spf.protection.outlook.com', '_spf.psm.knowbe4.com', '_spf.salesforce.com', 'icpbounce.com', 'amazonses.com', 'us._netblocks.mimecast.com']"
cigna.com,1032,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']","['_spf.cigna.com', '_spf05.cigna.com', '_spf09.cigna.com', '_spf10.cigna.com', '_spf04.cigna.com', '_spf06.cigna.com', '_spf02.cigna.com', '_spf03.cigna.com']"
amica.com,1031,"['EC2 (us-west-2)', 'EC2 (eu-west-2)', 'AMAZON (us-east-1)', 'EC2 (ca-central-1)', 'EC2 (us-east-1)', 'EC2 (ap-southeast-2)', 'EC2 (eu-west-1)']","['spfb.amica.com', 'spf-000f3401.pphosted.com', 'spf.protection.outlook.com', 'mailgun.org', 'spfa.amica.com', 'archer.rsa.com']"
tetratech.com,1031,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (eu-central-1)']","['servers.mcsv.net', 'spf.protection.outlook.com', '_spf.salesforce.com', '_spf.brainier.com', 'sogosurveys.com']"
amwater.com,1029,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (us-gov-west-1)']","['spf.protection.outlook.com', 'spf-c.usa.striata.com', '_spf.qualtrics.com', 'amazonses.com', 'bulk.decipherinc.com']"
pplweb.com,1029,"['AMAZON (us-east-1)', 'EC2 (eu-west-1)', 'EC2 (us-east-1)']","['spf.qb-feedback.com', 'et._spf.pardot.com', 'spf.protection.outlook.com', 'spf-0000ff01.pphosted.com', 'spfext.zapproved.com', 'amazonses.com', 'spf.mandrillapp.com']"
pfizer.com,1028,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']","['spf1.mailgun.org', 'spf1.pfizer.com', '_spf.pfizer.com', 'mktomail.com', 'amazonses.com', '_spf2.pfizer.com', 'spf2.mailgun.org', '_spf3.pfizer.com']"
chsinc.com,1028,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']","['spf.constantcontact.com', 'servers.mcsv.net', 'spf-002ae201.pphosted.com', 'spfa.chsinc.com', '_spf.createsend.com', 'cvent-planner.com', 'sendgrid.net', 'e2ma.net']"
harley-davidson.com,1026,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (us-east-1)']","['servers.mcsv.net', 'spf.protection.outlook.com', 'spf1.harley-davidson.com', 'amazonses.com', 'spf2.harley-davidson.com', 'sendgrid.net']"
hanes.com,1026,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']","['servers.mcsv.net', 'spf.protection.outlook.com', 'amazonses.com', 'spf.notes.ce.collabserv.com', 'spf-sigstr1.sigstr.com']"
amcnetworks.com,1026,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (eu-west-1)']","['mail.zendesk.com', 'servers.mcsv.net', 'spf.protection.outlook.com', 'spf.etouches.com', 'spf.exclaimer.net', 'spf.mtasv.net', 'amazonses.com', '_spf.atoracle.com']"
andersonsinc.com,1026,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']","['spf.protection.outlook.com', 'vspf.andersonsinc.com', '_spf.salesforce.com', 'spf-00158401.pphosted.com', 'us._netblocks.mimecast.com', 'amazonses.com', 'vspf2.andersonsinc.com']"
supervalu.com,1025,"['EC2 (us-west-2)', 'AMAZON (us-east-1)']","['spf_c.oraclecloud.com', 'spf.protection.outlook.com', '_spf.salesforce.com', 'recallinfolink.com', 'spf.mandrillapp.com', 'cust-spf.exacttarget.com', '_spf.fireeyecloud.com']"
textron.com,1025,"['AMAZON (us-east-1)', 'EC2 (eu-central-1)']","['spf1.textron.com', 'spf2.textron.com']"
merck.com,1025,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']","['spf1.mailgun.org', 'amazonses.com', 'cmail1.com', 'res.cisco.com', 'spf2.mailgun.org']"
agcocorp.com,1025,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']","['spf-a.agcocorp.com', 'spf.protection.outlook.com', 'spf.messagelabs.com', '_spf.salesforce.com', 'spf-b.agcocorp.com', 'us._netblocks.mimecast.com', 'amazonses.com', 'wappmail.com']"
theice.com,1025,"['AMAZON (us-east-1)', 'EC2 (eu-west-1)']","['spfb.theice.com', 'spfa.theice.com']"
motorolasolutions.com,1025,"['AMAZON (us-east-1)', 'EC2 (eu-west-1)']","['_spf.act-on.net', '_spf.salesforce.com', 'amazonses.com', '_spf.google.com', 'moto-spf-info.august.com.au', 'spf-0019e102.pphosted.com']"
lilly.com,1025,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']","['spf1.lilly.com', '_spf.salesforce.com', 'amazonses.com', 'lilly.decipherinc.com', '_spf.northernlight.com', 'cust-spf.exacttarget.com']"
carmax.com,1025,"['AMAZON (us-east-1)', 'EC2 (us-east-1)']","['spf-001ffb01.pphosted.com', 'amazonses.com']"
mgmresorts.com,1024,['AMAZON (us-east-1)'],"['spf.dynect.net', 'spf.protection.outlook.com', 'mailgun.org', 'amazonses.com', 'spf-00282801.pphosted.com']"
riteaid.com,1024,['AMAZON (us-east-1)'],"['spf2.riteaid.com', 'spf3.riteaid.com', 'spf1.riteaid.com']"
dynegy.com,1024,['AMAZON (us-east-1)'],"['spf.protection.outlook.com', 'mailgun.org', 'spf.boardbooks.com', 'amazonses.com']"
enersys.com,1024,['AMAZON (us-east-1)'],"['_spf.salesforce.com', 'successfactors.eu', 'spf.protection.outlook.com', 'amazonses.com']"
xilinx.com,1024,['AMAZON (us-east-1)'],"['oktaspf.xilinx.com', 'smtpspf.xilinx.com', 'spf.protection.outlook.com', 'amazonses.com']"
timken.com,1024,['AMAZON (us-east-1)'],"['amazonses.com', 'spf.protection.outlook.com', 'spf.messagelabs.com']"
clr.com,1024,['AMAZON (us-east-1)'],"['_spf.jobvite.com', '_spf.sendthisfile.com', '_spf.maxproddata.tracom.com']"
petsmart.com,1024,['AMAZON (us-east-1)'],"['spf-003bb001.pphosted.com', 'spf.protection.outlook.com', 'amazonses.com']"
techdata.com,1024,['AMAZON (us-east-1)'],"['_spf2.techdata.com', '_spf1.techdata.com']"
johndeere.com,1024,['AMAZON (us-east-1)'],"['mail.zendesk.com', 'spf.dynect.net', 'cust-spf.exacttarget.com', 'amazonses.com', 'spf.vop.johndeere.com', 'spf-000e4101.pphosted.com', '_spf.q4press.com']"
smartandfinal.com,1024,['AMAZON (us-east-1)'],"['lenos.com', 'mail.zendesk.com', 'spf.protection.outlook.com', 'amazonses.com']"
bio-rad.com,1024,['AMAZON (us-east-1)'],"['_spf.google.com', '_spf.salesforce.com', 'spf.protection.outlook.com', 'amazonses.com']"
hain.com,1024,['AMAZON (us-east-1)'],"['spf.cybercrs.net', 'spf.protection.outlook.com', 'amazonses.com', 'spf.mandrillapp.com', 'spf-001f2c01.pphosted.com']"
nasdaqomx.com,1024,['AMAZON (us-east-1)'],"['sp247.net', 'spf.protection.outlook.com', 'amazonses.com']"
